[2026-02-07 02:15:21] Автор: dkolosovskyi@company.ua (ID: 1) | Користувач: dkolosovskyi@company.ua (ID: 1) | Дата в календарі: 2026-02-25 | Дія: створено | Деталі: Тип: sick, Час: None-None, Заголовок: None
[2026-02-07 02:17:07] Автор: dkolosovskyi@company.ua (ID: 1) | Користувач: vkarpenko@company.ua (ID: 2) | Дата в календарі: 2026-02-18 | Дія: створено | Деталі: Тип: shift, Час: 09:30:00-18:30:00, Заголовок: Ранкова зміна
[2026-02-07 02:17:47] Автор: dkolosovskyi@company.ua (ID: 1) | Користувач: vkarpenko@company.ua (ID: 2) | Дата: 2026-02-19 | Зміна: створено | Деталі: Тип: shift, Час: 15:00:00-22:00:00, Заголовок: Вечірня зміна
[2026-02-07 02:18:28] Автор: dkolosovskyi@company.ua (ID: 1) | Користувач: vkarpenko@company.ua (ID: 2) | Дата: 2026-02-19 | Зміна: оновлено | Деталі: Тип: off, Час: None-None, Заголовок: Вихідний
[2026-02-07 03:01:36] Автор: dkolosovskyi@company.ua (ID: 1) | Користувач: vkarpenko@company.ua (ID: 2) | Дата: 2026-02-01 - 2026-02-07 | Зміна: заявка схвалена | Деталі: Тип: off
[2026-02-07 03:36:11] Автор: dkolosovskyi@company.ua (ID: 1) | Користувач: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-03-08 - 2026-03-21 | Зміна: заявка схвалена | Деталі: Тип: vacation
[2026-02-07 03:42:36] Автор: m1@test.com (ID: 6) | Користувач: m1@test.com (ID: 6) | Дата: 2026-03-01 - 2026-03-01 | Зміна: заявка схвалена | Деталі: Тип: off
[2026-02-07 03:43:49] Автор: omalevanets@company.ua (ID: 4) | Користувач: omalevanets@company.ua (ID: 4) | Дата: 2026-02-21 - 2026-02-25 | Зміна: заявка схвалена | Деталі: Тип: sick
[2026-02-07 03:46:29] Автор: omalevanets@company.ua (ID: 4) | Користувач: omalevanets@company.ua (ID: 4) | Дата: 2026-02-11 - 2026-02-20 | Зміна: заявка схвалена | Деталі: Тип: vacation
[2026-02-07 03:49:13] Автор: manager1@test.com (ID: 9) | Користувач: manager1@test.com (ID: 9) | Дата: 2026-04-01 - 2026-04-02 | Зміна: заявка схвалена | Деталі: Тип: vacation
[2026-02-07 04:05:39] Автор: dkolosovskyi@company.ua (ID: 1) | Користувач: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-05-01 - 2026-05-01 | Зміна: заявка схвалена | Деталі: Тип: off
[2026-02-08 02:13:25] Автор: dkolosovskyi@company.ua (ID: 1) | Користувач: vkarpenko@company.ua (ID: 2) | Дата: 2026-02-08 | Зміна: створено | Деталі: Тип: other, Час: None-None, Заголовок: Відсторонений
[2026-02-09 03:06:09] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-09 | Дія: створено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:06:15] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-10 | Дія: створено | Деталі: Тип: other, Час: None-None, Заголовок: None
[2026-02-09 03:06:18] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-08 | Дія: створено | Деталі: Тип: vacation, Час: None-None, Заголовок: None
[2026-02-09 03:11:04] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-04-14 - 2026-04-16 | Дія: заявка схвалена | Деталі: Тип: off
[2026-02-09 03:23:37] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-01 - 2026-02-28 | Дія: оновлення діапазону | Деталі: Створено: 12, Оновлено: 16, Пропущено: 0. Тип: shift, Час: 09:30:00-18:30:00
[2026-02-09 03:24:55] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-06 | Дія: оновлено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:24:58] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-07 | Дія: оновлено | Деталі: Тип: off, Час: None-None, Заголовок: Робоча зміна
[2026-02-09 03:25:03] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-13 | Дія: оновлено | Деталі: Тип: off, Час: None-None, Заголовок: Робоча зміна
[2026-02-09 03:25:12] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-13 | Дія: оновлено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:25:18] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-14 | Дія: оновлено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:25:27] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-20 | Дія: оновлено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:25:35] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-21 | Дія: оновлено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:25:41] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-27 | Дія: оновлено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:25:47] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-28 | Дія: оновлено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:27:28] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-01 - 2026-02-28 | Дія: видалення діапазону | Деталі: Видалено 28 записів
[2026-02-09 03:27:33] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-03 | Дія: створено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:27:36] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-04 | Дія: створено | Деталі: Тип: shift, Час: 09:00:00-18:00:00, Заголовок: None
[2026-02-09 03:27:41] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-04 | Дія: оновлено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:27:43] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-10 | Дія: створено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:27:47] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-11 | Дія: створено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:27:51] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-17 | Дія: створено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:27:55] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-18 | Дія: створено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:27:58] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-24 | Дія: створено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:28:01] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-25 | Дія: створено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:28:27] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-13 | Дія: створено | Деталі: Тип: trip, Час: 12:30:00-21:00:00, Заголовок: None
